,Commitment in U.A,Country,starting year
0,7290000.0,Mali,2019
1,73173765.74,Kenya,2019
2,79781717.22,Morocco,2019
3,1258000.0,Multinational,2019
4,279000.0,Multinational,2019
5,463000.0,Multinational,2019
6,783328.0,Multinational,2019
7,5853901.26,Guinea,2019
8,11967257.58,Senegal,2019
9,5666565.14,Kenya,2019
10,10244327.2,Rwanda,2019
11,36586882.87,Multinational,2019
12,146347531.48,Multinational,2019
13,36586882.87,Multinational,2019
14,79781717.22,Multinational,2019
15,4800000.0,Multinational,2019
16,21952129.72,Mozambique,2019
17,84148876.19,Tunisia,2019
18,1500000.0,Madagascar,2019
19,12593612.52,Tunisia,2019
20,29385095.88,Tunisia,2019
21,75461573.29,Kenya,2019
22,95319040.77,Tunisia,2019
23,57998332.55,Botswana,2019
24,10717644.69,Nigeria,2019
25,900000.0,Multinational,2019
